,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BBC,4,2022,6.0,0.8,7.5,,0.157,0.106,51,43,51,15.4,10083,72122,,,,,,0.731,,,2.7,1.9,1.6,0.117,10863.0,0.322,0.054,0.056,0.1,0.1,0.4,,1.4,414,0.113,0.134,43,7.2,-0.06,0.9,0.9,0.054,1.1,,,,,,,,,0.4,,0.648,0.029,
1,BBC,3,2022,6.7,0.9,11.3,,0.144,0.104,61,41,34,4.9,9024,70108,,,,,,0.69,,,2.2,1.3,1.0,0.177,6592.0,0.325,0.053,0.055,0.2,0.2,1.3,,1.4,166,0.043,0.054,69,6.0,0.252,0.9,0.8,0.053,1.3,,,,,,,,,0.4,,0.315,-0.003,
2,BBC,2,2022,10.4,1.1,12.7,,0.119,0.091,104,41,30,-8.0,7670,70317,,,,,,0.743,,,2.9,1.3,1.1,-0.004,5014.0,0.219,,,0.2,0.1,1.4,,1.3,155,0.133,0.173,114,3.5,-0.039,0.7,,,0.2,,,,,,,,,0.3,,-0.043,-0.017,
3,BBC,1,2022,9.6,1.0,12.0,,0.118,0.089,117,40,46,-139.0,7704,71537,,,,,,0.749,,,3.0,1.8,1.6,6.04,5241.0,0.255,,0.436,0.0,0.0,0.8,,1.3,364,0.155,0.161,110,3.1,-0.07,0.7,0.8,,-79.7,,,,,,,,,0.3,,-0.147,0.269,
4,BBC,4,2021,56.8,1.1,11.8,,0.019,0.013,53,68,35,18.8,1094,56381,,,,,,0.619,,,1.6,1.1,0.8,-0.454,6141.0,0.312,0.033,0.04,0.0,0.0,0.2,0.7,1.6,36,0.168,0.141,86,6.9,-0.039,0.7,0.8,0.033,1.5,,,,,,,,,0.6,,-0.095,0.019,
5,BBC,3,2021,31.2,1.1,10.8,,0.036,0.026,82,43,40,,2002,55339,,,,,,0.767,,,3.3,2.0,1.7,-0.255,6783.0,0.228,,,0.0,0.0,1.0,,1.3,298,0.134,0.11,84,4.5,-0.367,0.8,,,0.6,,,,,,,,,0.3,,-0.133,-0.054,
6,BBC,2,2021,23.4,1.1,6.2,,0.047,0.036,90,35,25,-7.2,2686,58501,,,,,,0.787,,,3.7,2.7,2.5,-0.496,7825.0,0.252,,,0.0,0.0,0.8,,1.3,481,0.257,0.273,100,4.1,-0.058,1.0,,,-0.1,,,,,,,,,0.3,,0.037,-0.006,
7,BBC,1,2021,10.8,1.0,8.0,,0.095,0.072,84,36,38,2.5,5327,58828,,,,,,0.753,,,3.0,1.9,1.7,0.068,7544.0,0.302,0.016,0.022,0.1,0.1,0.6,,1.3,313,0.142,0.167,83,4.4,-0.014,1.0,0.8,0.016,1.7,,,,,,,,,0.3,,0.167,0.01,
8,BBC,4,2020,13.9,1.2,9.2,,0.089,0.063,84,51,48,20.5,4988,58271,,,,,,0.767,,,3.3,1.9,1.5,-0.149,6464.0,0.335,0.076,0.066,0.0,0.0,0.0,,1.3,283,0.122,0.133,87,4.3,-0.014,0.8,0.9,0.076,1.0,,,,,,,,,0.3,,-0.098,0.033,
9,BBC,3,2020,8.2,0.9,7.4,,0.109,0.077,74,52,50,3.8,5859,56416,,,,,,0.7,,,2.3,1.5,1.2,-0.089,7167.0,0.287,0.027,0.027,0.2,0.1,0.9,,1.4,227,0.267,0.312,76,4.9,-0.272,0.9,0.6,0.027,1.7,,,,,,,,,0.4,,-0.038,0.009,
